上午5:17 - 2017年4月30日," Introducing The #SDGs Through Our New Curriculum Clubs #globalgoals http://ln.is/ourglobalclassroom.com/BscxA?? "
上午5:11 - 2017年4月30日," The competitive advantage of hiring persons with disabilities http://www.ilo.org/dhaka/Whatwedo/Publications/WCMS_543490/lang--en/index.htm?shared_from=shr-tls?? @DavidLepofsky @MMacSeing @MrGerry #CRPD #SDGs "
上午5:10 - 2017年4月30日," Introducing The #SDGs Through Our New Curriculum Clubs?#globalgoals http://ln.is/ourglobalclassroom.com/upiNL??pic.twitter.com/5DB4lpoHfH "
上午5:10 - 2017年4月30日," SDGs and higher education ? Leaving many behind - University World News http://www.universityworldnews.com/article.php?story=20170427064053237?? "
上午5:10 - 2017年4月30日," The competitive advantage of hiring persons with disabilities http://www.ilo.org/dhaka/Whatwedo/Publications/WCMS_543490/lang--en/index.htm?shared_from=shr-tls?? @JudgeWren @C_AChafe @Lollardfish #SDGs #CRPD "
上午5:08 - 2017年4月30日," Summit welcomes work of MOFA Thailand & @UNESCAP to promote Complementarities between #ASEAN Vision 2025 & 2030 Agenda 4 Sust Dev #SDGs https://twitter.com/asean/status/858499501316751360?? "
上午5:08 - 2017年4月30日," The competitive advantage of hiring persons with disabilities http://www.ilo.org/dhaka/Whatwedo/Publications/WCMS_543490/lang--en/index.htm?shared_from=shr-tls?? @CatiaMalaquias @CarineMarzin #SDGs #CRPD #Inclusion "
上午5:07 - 2017年4月30日," The competitive advantage of hiring persons with disabilities http://www.ilo.org/dhaka/Whatwedo/Publications/WCMS_543490/lang--en/index.htm?shared_from=shr-tls?? @debraruh @edaccessible @nabileid1 #AXSChat #SDGs "
上午5:06 - 2017年4月30日," The competitive advantage of hiring persons with disabilities http://www.ilo.org/dhaka/Whatwedo/Publications/WCMS_543490/lang--en/index.htm?shared_from=shr-tls?? @LockwoodEM @lisadiac @McNhlapo #CRPD #SDGs #Inclusion "
上午5:05 - 2017年4月30日," The competitive advantage of hiring persons with disabilities http://www.ilo.org/dhaka/Whatwedo/Publications/WCMS_543490/lang--en/index.htm?shared_from=shr-tls?? @AndyAUCD @vknowltonmarcus @MgmAUCD #CRPD #SDGs "
上午5:00 - 2017年4月30日," RECAP: Global partnership is key to implementing #SDGs: http://wrld.bg/ze2b30b19g5? #SDGs #AM2016SDGspic.twitter.com/oY3lKZOJ3S "
上午5:00 - 2017年4月30日," Indeed!! One way to do that is to ensure the HIV community + experts systematically contribute to the review + analysis of the other SDGs. "
上午4:59 - 2017年4月30日," @GaLivestock will be there! Preparing a case study on investment in livestock in Ethiopia and contribution to #SDGs #SustLivestockpic.twitter.com/VSrInJCtdf "
上午4:58 - 2017年4月30日," Hear what state representatives had to say on #SDGs in the #SDGFinance Labhttps://twitter.com/unngls/status/854407664209735680?? "
上午4:39 - 2017年4月30日," Nice article linking to #SDGs goal 10 https://twitter.com/ianwasafiri/status/857666569161322496?? "
上午4:30 - 2017年4月30日," "...46% of China?s poor were poor bc of their health." & health may b 'poor' bc of their #poverty #primaryhealthcare #SDGs https://twitter.com/theeconomist/status/858414649649377281?? "
上午4:29 - 2017年4月30日," Smart phones are child?s play, but what about the child labour?  http://bit.ly/2oQ7x4V? #bizhumanrights #OECDminerals #OECDrbc #SDGs pic.twitter.com/tXaCVN2aQU "
上午4:25 - 2017年4月30日," We think education is key to achieving all #SDGs, in particular the goal to #EndPoverty http://bit.ly/5ways_poverty?pic.twitter.com/pVfTHCyAwx "
上午4:17 - 2017年4月30日," Toward SDGs localization and implementation in Afghanistan pic.twitter.com/xJ3VxCN5TZ "
上午4:06 - 2017年4月30日," Bridging Gaps in implementing the SDGs in Africa: The Environment Lens https://thisisafrica.me/bridging-gaps-implementing-sdgs-africa-environment-lens/?? "
上午4:03 - 2017年4月30日," #SDG6Plus is water's role in all #SDGs https://twitter.com/un_water/status/858405784287412224?? "
上午3:42 - 2017年4月30日," By retweeting and Sharing as much as possible #SDGs #YouthAtTheCentreOfChangehttps://twitter.com/europeaid/status/858631778935898112?? "
上午3:39 - 2017年4月30日," Awareness of #SDGs among Europeans has increased from 36% to 41% in just 1 year! How are you spreading awareness of our #globalgoals? #EUDevpic.twitter.com/29j4eWEuWC "
上午3:26 - 2017年4月30日," Introducing goal 1 of the #SDGs: End Poverty by 2030! It's ambitious - how will the world leaders achieve this? #endpoverty #globalgoalshttps://twitter.com/UN/status/642217280558923777?? "
上午3:25 - 2017年4月30日," Tell us: What is your knowledge of the Sustainable Development Goals or #SDGs? Check what Europeans replied in 2016 http://europa.eu/!Dx69nc? "
